"chemin","class","classe_CLOC","classe_LOC","classe_DC"
"org/jfree/chart/event/MarkerChangeEvent.java","org.jfree.chart.event.MarkerChangeEvent","52.0","13.0","4.0"
"org/jfree/chart/renderer/category/LayeredBarRenderer.java","org.jfree.chart.renderer.category.LayeredBarRenderer","140.0","268.0","0.52"
"org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java","org.jfree.chart.renderer.category.AbstractCategoryItemRenderer","619.0","950.0","0.65"
"org/jfree/data/statistics/DefaultBoxAndWhiskerCategoryDataset.java","org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset","445.0","411.0","1.08"
"org/jfree/chart/plot/XYPlot.java","org.jfree.chart.plot.XYPlot","2230.0","2786.0","0.8"
"org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java","org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer","158.0","272.0","0.58"
"org/jfree/data/xy/XYDatasetTableModel.java","org.jfree.data.xy.XYDatasetTableModel","168.0","74.0","2.27"
"org/jfree/chart/renderer/category/LevelRenderer.java","org.jfree.chart.renderer.category.LevelRenderer","182.0","226.0","0.81"
"org/jfree/data/xy/XYDataset.java","org.jfree.data.xy.XYDataset","97.0","11.0","8.82"
"org/jfree/chart/block/BlockContainer.java","org.jfree.chart.block.BlockContainer","128.0","125.0","1.02"
"org/jfree/chart/renderer/xy/StackedXYAreaRenderer2.java","org.jfree.chart.renderer.xy.StackedXYAreaRenderer2","170.0","326.0","0.52"
"org/jfree/data/xy/XisSymbolic.java","org.jfree.data.xy.XisSymbolic","66.0","6.0","11.0"
"org/jfree/chart/annotations/XYTitleAnnotation.java","org.jfree.chart.annotations.XYTitleAnnotation","147.0","217.0","0.68"
"org/jfree/data/KeyedValue.java","org.jfree.data.KeyedValue","48.0","4.0","12.0"
"org/jfree/chart/block/LabelBlock.java","org.jfree.chart.block.LabelBlock","204.0","187.0","1.09"
"org/jfree/chart/renderer/category/StackedAreaRenderer.java","org.jfree.chart.renderer.category.StackedAreaRenderer","156.0","286.0","0.55"
"org/jfree/data/general/SeriesChangeListener.java","org.jfree.data.general.SeriesChangeListener","49.0","5.0","9.8"
"org/jfree/chart/entity/FlowEntity.java","org.jfree.chart.entity.FlowEntity","66.0","38.0","1.74"
"org/jfree/chart/labels/IntervalCategoryToolTipGenerator.java","org.jfree.chart.labels.IntervalCategoryToolTipGenerator","77.0","62.0","1.24"
"org/jfree/data/general/DefaultKeyedValues2DDataset.java","org.jfree.data.general.DefaultKeyedValues2DDataset","47.0","8.0","5.88"
"org/jfree/data/flow/DefaultFlowDataset.java","org.jfree.data.flow.DefaultFlowDataset","169.0","184.0","0.92"
"org/jfree/chart/title/LegendGraphic.java","org.jfree.chart.title.LegendGraphic","351.0","330.0","1.06"
"org/jfree/data/json/impl/JSONObject.java","org.jfree.data.json.impl.JSONObject","90.0","85.0","1.06"
"org/jfree/chart/plot/dial/DialCap.java","org.jfree.chart.plot.dial.DialCap","174.0","132.0","1.32"
